proposal
Should video capture be used in members-only spaces or public spaces?
Should automatic speech detection be used in members-only spaces or public spaces?
"Who should be responsible for bad behavior in members-only, creators or platform owners?"
"Who should be responsible for bad behavior in public spaces, creators or platform owners?"
What kind of punishments should there be for bad behavior?
